pid,text,labels
train_moderate_30,"I've been isolating myself a bit lately, though I still see people? ",1
train_not_depression_242,Looking forward to my plans for the weekend.,2
dev_severe_44,I feel completely hopeless these days.,0
train_moderate_11,I worry more than I should about things. ,1
train_moderate_222,I'm not sleeping as well as I used to!,1
dev_moderate_63,"Some days are harder than others, but I'm managing! ",1
train_not_depression_374,Had a stressful day but feeling better after some relaxation? Been like this for a while.,2
dev_moderate_96,"I've been  feeling down lately, but I still have good days.",1
dev_not_depression_62,Enjoying the little things kind of in life lately.,2
train_not_depression_11,"I had a productive day today, feeling good about it.",2
train_severe_291,I don't see any point in trying anymore.,0
train_not_depression_29,Enjoying the actually little things in life lately.,2
train_moderate_239,I feel tired more often than I should.,1
train_not_depression_333,Things are going well at work and home right now.,2
train_not_depression_110,"I had a productive day today, actually feeling good about it.",2
train_not_depression_128,Had a stressful day but feeling I mean better after some relaxation.,2
train_not_depression_163,Had some challenges today but managed to overcome them.,2
train_not_depression_318,Looking forward to my plans for the weekend.,2
train_not_depression_177,Enjoying the little things in life lately...  ,2
train_not_depression_276,Looking forward to you know my plans for the weekend.,2
train_moderate_126,"I've been feeling down lately, but I still have good days... This has been on my mind.",1
train_severe_99,I feel like a burden to everyone around me.,0
train_severe_220,"Everything feels like a struggle, I can't even get out of bed sometimes.",0
train_severe_151,"Nothing brings me joy anymore, everything feels empty? ",0
train_severe_95,I keep thinking everyone would be better off without me.,0
dev_severe_61,I've lost interest in everything I used to enjoy.,0
dev_moderate_14,"I don't enjoy things as much as I used to, but some things still make me happy.",1
train_severe_277,I feel like a burden to everyone around me. ,0
train_moderate_224,I'm not sleeping as well as I used to.,1
dev_not_depression_112,"I had a productive day today, feeling good about it.",2
train_severe_146,I feel completely hopeless these really days.,0
dev_not_depression_105,"Spent time with friends this weekend, it was nice catching up... ",2
dev_not_depression_25,Had a stressful day but feeling better after some relaxation...  Not sure why I feel this way.,2
train_severe_247,I don't see any point in trying anymore? I've noticed this recently.,0
train_severe_238,I don't see any point in trying anymore! I've noticed this recently.,0
train_moderate_107,I find it difficult to get motivated sometimes.,1
train_not_depression_253,"Spent time with friends this weekend, it was nice catching up...",2
dev_moderate_24,My mood fluctuates a lot throughout the week. ,1
dev_not_depression_125,Trying out a new hobby that's been fun to learn? ,2
train_severe_154,I'm constantly tired and have no energy for anything.,0
dev_moderate_16,I find it difficult to get motivated sometimes.,1
dev_moderate_6,I feel tired more often than I should.,1
train_moderate_274,I sometimes feel overwhelmed by small tasks?  ,1
train_moderate_103,I find it difficult to get motivated  sometimes.,1
dev_moderate_59,I worry more than I should about things? ,1
train_severe_109,"Everything feels like a struggle, I can't even get out of bed sometimes.",0
train_moderate_235,"Some days are harder than others, but I'm managing.",1
train_severe_286,I've lost interest in everything I used to enjoy.,0
train_severe_285,I keep thinking everyone would be better off without me.,0
train_moderate_114,My mood fluctuates a lot throughout the week.,1
dev_not_depression_115,Had some challenges today but managed to overcome them... Not sure why I feel this way.,2
train_not_depression_119,Had some challenges today but managed to overcome them.,2
dev_moderate_30,I sometimes feel overwhelmed by small tasks?,1
dev_moderate_58,I find it difficult to get motivated sometimes.  This has been on my mind.,1
train_not_depression_264,Things are going well at work and home right now. ,2
train_not_depression_304,Things are going well at work and home right now?,2
train_not_depression_340,Looking forward to my plans for the weekend! ,2
train_not_depression_210,Trying out a new hobby that's been fun to learn? ,2
train_severe_9,I feel like a burden to everyone around me.,0
dev_moderate_88,"I've been feeling down lately, but I still have good days.  This has been on my mind.",1
train_moderate_286,I'm not sleeping as well as I used to? ,1
train_severe_44,I feel like a burden to everyone around me... That's just how it is sometimes.,0
dev_severe_38,I don't see any point in trying anymore. I've noticed this recently.,0
train_not_depression_34,Enjoying the little things in life lately.,2
train_moderate_262,I worry more than I should about things.,1
train_moderate_228,"I don't enjoy things as much as I used to, but some things still make me happy.",1
train_moderate_60,"I don't enjoy things actually as much as I used to, but some things still make me happy.",1
train_severe_107,"I can't focus on anything, my mind is always foggy?",0
train_moderate_217,I feel tired I mean more often than I should.,1
train_not_depression_334,Had some challenges today but managed to overcome them?,2
train_moderate_105,My mood fluctuates a lot throughout the week...,1
train_moderate_147,My mood fluctuates a lot throughout the week. ,1
train_not_depression_162,I've been working on a new project I mean that's really interesting.,2
train_not_depression_205,Trying out a new hobby that's been fun to learn! Just wanted to share that.,2
train_not_depression_81,Looking forward to my plans for the weekend. ,2
train_severe_181,I don't see any point in trying anymore! Just wanted to share that.,0
train_not_depression_25,Trying out a new hobby that's been fun to learn.,2
train_severe_147,I feel completely hopeless these days?,0
train_not_depression_18,Things are going well at work  and home right now.,2
train_not_depression_343,Trying out a new hobby that's been fun to learn... ,2
dev_not_depression_70,"I had a productive day today, feeling good about it. Been like this for a while.",2
dev_not_depression_5,Things are going well at work and home right now...  That's just how it is sometimes.,2
dev_severe_65,I feel completely hopeless these days?,0
train_severe_162,I've lost interest in everything I used to enjoy.,0
dev_severe_50,"Everything feels like a struggle, I can't even get out of bed sometimes.",0
train_not_depression_63,Trying out sort of a new hobby that's been fun to learn.,2
dev_moderate_40,I'm not sleeping as well as I used to? ,1
train_severe_267,"Everything feels like a struggle, I can't even get out of bed sometimes.  Just wanted to share that.",0
train_moderate_21,My mood fluctuates a lot throughout the week! ,1
train_severe_89,I'm constantly tired and have no energy for anything... ,0
dev_severe_30,"Nothing brings me  joy anymore, everything feels empty.",0
train_not_depression_51,Things are going well at work and home actually right now.,2
train_not_depression_190,Trying out a new hobby that's been fun to learn.  Been like this for a while.,2
train_severe_143,I feel like a burden to everyone around me!,0
train_not_depression_167,"I had a productive day today, feeling good about it! ",2
train_moderate_291,My mood fluctuates a lot throughout the week.,1
dev_not_depression_77,I've been working on a new project that's really interesting.,2
train_severe_199,"Everything feels like a struggle, I can't even get out of bed sometimes.",0
train_not_depression_22,"I had a productive day today, feeling good about it.",2
train_not_depression_73,Looking forward to my plans for the weekend... ,2
train_severe_11,I feel completely hopeless these days.,0
train_not_depression_42,Things are going well at you know work and home right now.,2
train_not_depression_55,"I had a productive day today, feeling good about it.",2
train_severe_243,I feel completely hopeless these days! It's been an interesting experience.,0
dev_moderate_35,"Some days are harder than others, but actually I'm managing.",1
train_not_depression_393,Things are going well at work and home right now?  I've noticed this recently.,2
dev_not_depression_34,Trying out a new hobby that's been fun to sort of learn.,2
dev_severe_3,I don't see any point in trying anymore...,0
dev_moderate_31,I worry more than I should about things.,1
train_moderate_261,I find it difficult to get motivated sometimes.,1
train_not_depression_240,Trying out a new hobby that's been fun to learn?,2
train_severe_38,I'm actually exhausted all the time no matter how much I sleep.,0
dev_severe_37,"Nothing brings me joy anymore, everything feels empty.",0
dev_not_depression_4,"Spent time with friends this weekend, it was nice catching up... ",2
dev_moderate_18,I find it difficult to get motivated sometimes.,1
train_not_depression_5,Had a stressful day but feeling better after some relaxation? ,2
train_not_depression_372,Looking forward to my plans for the weekend...  Not sure why I feel this way.,2
train_severe_226,"Everything feels like a struggle, I can't even get out of bed sometimes... ",0
train_not_depression_97,"Spent time with friends this weekend, it was nice catching up.",2
train_not_depression_252,I've been I mean working on a new project that's really interesting.,2
train_moderate_297,I find it difficult to get motivated sometimes.,1
train_not_depression_96,"Spent time with friends this weekend, it was nice catching up?  I've noticed this recently.",2
dev_not_depression_27,Enjoying the little things in life lately.,2
train_severe_241,I'm constantly tired and have no energy for anything.,0
train_not_depression_194,Had a stressful day but feeling better after some relaxation.,2
train_not_depression_330,Looking forward to my plans for the weekend?  Been like this for a while.,2
train_not_depression_266,Had some challenges today a bit but managed to overcome them.,2
train_severe_16,I don't see any point in trying anymore? ,0
dev_severe_87,I'm constantly tired and have no energy for anything... ,0
train_moderate_96,"Some days are harder than others, but I'm managing.",1
train_not_depression_348,Had some challenges today but managed to overcome them. ,2
train_not_depression_72,"I had a productive day today, feeling good about it!",2
train_severe_118,I keep thinking everyone would be better off without me!,0
dev_moderate_3,I feel tired more often than I should.  That's just how it is sometimes.,1
train_not_depression_273,Things are going well at work and home right now.,2
train_not_depression_120,I've been working on a new project that's really interesting?,2
dev_moderate_90,"I don't enjoy things as much as I used to, but some things still make me happy?",1
dev_moderate_67,I feel tired more often than I should.,1
train_severe_94,I'm exhausted all the time no matter how much I sleep! This has been on my mind.,0
train_severe_213,"Nothing brings me joy anymore, everything feels empty.",0
train_moderate_183,My mood fluctuates a lot throughout the week.,1
dev_moderate_97,"I've been isolating myself a bit lately, though I still see people.",1
dev_not_depression_95,Had a stressful day but feeling better after some relaxation? ,2
train_severe_212,"I can't focus on anything, my mind is always foggy! I've noticed this recently.",0
train_not_depression_160,Enjoying the little things in life lately.,2
dev_not_depression_129,"Spent time with friends this weekend, it was nice catching up.",2
train_moderate_75,I sometimes feel overwhelmed by small tasks.,1
train_severe_135,I'm exhausted all the time no matter how much I sleep... ,0
train_severe_236,I feel like a burden I mean to everyone around me.,0
train_severe_205,I'm exhausted all the time no matter how much I honestly sleep.,0
train_moderate_254,I sometimes feel overwhelmed by small tasks?  ,1
train_moderate_276,"I've been feeling down lately, but I still have good days.",1
train_not_depression_9,I've been working on a new project that's really interesting. ,2
train_not_depression_277,"I had a productive day today, feeling good about it? ",2
train_severe_224,I keep thinking everyone would be better off without me.,0
train_not_depression_52,Trying out a new hobby that's been fun to learn.,2
train_not_depression_200,Had a stressful day but feeling better after some relaxation? This has been on my mind.,2
train_severe_71,I feel like a burden to everyone around me.,0
train_severe_250,I don't see any point in trying anymore... ,0
train_severe_67,I keep thinking everyone would be better off without me.,0
train_severe_101,"Everything feels like a struggle, I can't even get out of bed sometimes? ",0
train_moderate_177,"I don't enjoy things as much as I used to, but some things still make me happy... It's been an interesting experience.",1
dev_severe_6,I feel completely hopeless these days.,0
train_not_depression_111,Enjoying the little things in life lately.,2
dev_moderate_23,I worry more actually than I should about things.,1
train_severe_175,I don't see any point in trying anymore.,0
dev_not_depression_3,"I had a productive day today, feeling good about it... ",2
train_severe_263,I feel like a burden to everyone around me.,0
train_not_depression_104,I'm tired from work but satisfied with what I accomplished.,2
train_not_depression_232,Enjoying the little things in life lately.,2
train_moderate_275,I feel tired more often than I should!  Just wanted to share that.,1
train_severe_260,I've lost interest in everything you know I used to enjoy.,0
train_moderate_31,"I've been feeling down lately, but I still have good days.",1
train_not_depression_4,"I had a productive day today, feeling good about it... ",2
dev_moderate_37,I sometimes feel overwhelmed by small tasks.,1
train_moderate_33,I feel tired more often than I should.,1
train_moderate_136,"I don't enjoy things as much as I used to, but some things still make me happy...",1
train_not_depression_193,Had some challenges today but actually managed to overcome them.,2
dev_severe_18,"Nothing brings me joy I mean anymore, everything feels empty.",0
train_moderate_82,"I've been isolating myself a bit lately, though I still see people.",1
train_moderate_80,"I've been isolating myself a bit lately, though I still see people... ",1
train_moderate_139,"Some days are harder than others, but I'm managing.",1
train_not_depression_207,Trying actually out a new hobby that's been fun to learn.,2
train_not_depression_172,"I had a productive day kind of today, feeling good about it.",2
train_not_depression_283,I'm tired from work but satisfied with what I accomplished...,2
train_not_depression_108,Had a stressful day but feeling better after some relaxation. ,2
train_not_depression_319,I'm tired from actually work but satisfied with what I accomplished.,2
train_severe_157,I feel completely sort of hopeless these days.,0
dev_not_depression_88,Had kind of some challenges today but managed to overcome them.,2
train_not_depression_378,Had a stressful day but feeling better after some relaxation. ,2
dev_severe_83,I don't see any point in trying anymore. ,0
train_moderate_290,"I've been feeling down lately, but I still have good days... ",1
train_severe_114,"I can't focus on anything, my mind is always foggy. ",0
train_not_depression_243,Enjoying the little kind of things in life lately.,2
train_severe_179,"I can't focus on anything, my mind I mean is always foggy.",0
train_moderate_211,I sometimes feel overwhelmed by small tasks! ,1
train_moderate_187,"I've been isolating you know myself a bit lately, though I still see people.",1
train_severe_252,I've lost interest in everything I used to enjoy! ,0
dev_not_depression_0,Things are going well at work and home right now. It's been an interesting experience.,2
train_moderate_194,"I don't enjoy things as much as I used to, but some things still make me happy.",1
train_severe_50,I'm constantly tired and have no energy for anything!  That's just how it is sometimes.,0
train_not_depression_257,Trying out a new hobby that's been fun to learn.,2
train_not_depression_328,"I had a productive day today, feeling good about it.",2
dev_not_depression_103,I'm tired from work but satisfied with what I accomplished.,2
train_not_depression_312,Enjoying the little things in life lately! ,2
train_not_depression_336,Looking forward to my plans for the weekend? Not sure why I feel this way.,2
dev_not_depression_90,Had some challenges today but managed to overcome them.,2
train_severe_21,"Nothing brings me joy anymore, everything feels empty.",0
train_not_depression_292,Enjoying the little things a bit in life lately.,2
train_severe_51,I feel like a burden to actually everyone around me.,0
train_moderate_279,"I don't enjoy things as much as I used to, but some things still make me happy!",1
train_moderate_155,I feel tired more honestly often than I should.,1
dev_moderate_46,I feel tired more often than I should.,1
train_severe_117,I keep thinking everyone would kind of be better off without me.,0
train_not_depression_275,Had some challenges today but managed to overcome them.,2
dev_not_depression_32,I've been working on a new project that's really interesting...  ,2
train_moderate_199,I find it difficult to get motivated sometimes. ,1
train_moderate_63,"I don't enjoy things as much as I used to, but some things still make me happy.",1
dev_severe_17,I don't see any point in trying anymore.,0
train_not_depression_94,I'm tired from work but satisfied with what I accomplished!,2
train_moderate_111,I'm not sleeping as well as I used to. I've noticed this recently.,1
train_moderate_115,I find it difficult to get motivated sometimes.,1
train_not_depression_146,I've been working on a new project that's really interesting.,2
train_severe_152,I keep thinking everyone would be better off without me.,0
train_not_depression_89,I've been working on a new project that's really interesting.,2
train_moderate_226,"I don't enjoy things as much as I used to, but some things still make me happy?  This has been on my mind.",1
train_not_depression_184,"I had a productive day today, feeling good about it.",2
train_moderate_231,"I've been isolating myself a bit lately, though I still see people.",1
dev_moderate_27,I find it difficult to get motivated sometimes!  ,1
train_moderate_270,"I've been feeling really down lately, but I still have good days.",1
dev_not_depression_61,Enjoying the little things in life lately.,2
train_not_depression_392,Things are going well at work and home right now? ,2
train_moderate_119,"I've been isolating myself a bit lately, though I still see people.  Just wanted to share that.",1
dev_moderate_69,"I've been feeling down lately, but I still have good days.",1
train_moderate_102,I find sort of it difficult to get motivated sometimes.,1
train_severe_251,"Nothing brings me joy anymore, everything feels empty!",0
train_severe_84,I feel completely hopeless these days! ,0
train_severe_79,I'm constantly tired and have no you know energy for anything.,0
train_moderate_229,"I've been feeling down lately, but I still kind of have good days.",1
dev_moderate_21,I feel tired more often than I I mean should.,1
train_moderate_287,I worry more than I should about things?  ,1
dev_not_depression_33,Looking forward to my plans for the weekend.,2
train_severe_91,I'm constantly tired and have no energy for anything... ,0
dev_severe_63,I'm exhausted all the time no matter how much I sleep.,0
train_not_depression_361,Looking forward to my plans for the weekend... ,2
dev_not_depression_113,Things are going well at work and home right now.,2
train_severe_289,"I can't focus on anything, my mind is always foggy? ",0
train_severe_218,I'm constantly tired really and have no energy for anything.,0
train_severe_33,I've lost interest in honestly everything I used to enjoy.,0
dev_not_depression_8,"I had a productive day today, feeling good about it... ",2
train_not_depression_214,I've been working on a new project that's really interesting.,2
train_moderate_135,"I don't enjoy things as much as I used to, but some things still make me happy!",1
train_not_depression_279,Things are going well at work and home right now.  I've noticed this recently.,2
train_severe_63,"I can't focus on anything, my mind is always foggy? It's been an interesting experience.",0
train_severe_283,"I can't focus on anything, my mind is always foggy? ",0
dev_moderate_54,"I've been feeling down lately, but I still have good days.",1
train_not_depression_91,"Spent time with  friends this weekend, it was nice catching up.",2
train_severe_177,I keep thinking everyone would be better off without me! ,0
train_severe_240,I feel completely hopeless these days... ,0
train_severe_0,"Nothing brings  me joy anymore, everything feels empty.",0
train_severe_46,I'm exhausted all the time no matter how much I sleep?  This has been on my mind.,0
train_not_depression_71,"Spent time with friends this weekend, it was nice catching up! ",2
train_not_depression_14,"I had a productive day today, feeling good about it...  ",2
dev_severe_80,I'm constantly tired and have no energy for anything...,0
train_severe_207,I don't see any point in trying anymore.,0
train_not_depression_241,Enjoying the little things in life lately. That's just how it is sometimes.,2
dev_severe_86,I keep thinking everyone would be better off without me. ,0
dev_not_depression_51,"I had a productive day today, feeling good about it.  This has been on my mind.",2
train_severe_140,I keep thinking everyone would be better off without me... That's just how it is sometimes.,0
train_moderate_170,My mood honestly fluctuates a lot throughout the week.,1
train_moderate_298,My mood fluctuates a lot throughout the week.,1
dev_not_depression_64,Enjoying the little things in actually life lately.,2
dev_not_depression_87,I've been working on a new project that's really interesting! Been like this for a while.,2
train_severe_83,"Everything feels like a struggle, I can't even get out of bed sometimes. ",0
train_severe_234,"I can't focus on anything, my mind is always foggy...",0
dev_severe_56,I've lost interest in everything I used to enjoy.,0
train_not_depression_33,Things are going well at work and home right now.,2
train_moderate_295,"I don't enjoy things as much as I used to, but some things still make me happy. ",1
train_not_depression_2,Had some challenges today but managed to I mean overcome them.,2
train_severe_88,I've lost interest in everything I used to enjoy...  ,0
train_moderate_16,I find it difficult to get motivated sometimes...,1
train_not_depression_260,"I had a productive day today, feeling good about it?  ",2
dev_moderate_56,I feel tired more often than I should! Been like this for a while.,1
train_not_depression_99,I'm tired from really work but satisfied with what I accomplished.,2
dev_severe_41,I feel like a burden to everyone around me.,0
train_severe_287,I'm constantly tired and have no energy for anything.,0
train_not_depression_267,"Spent time with friends this weekend, it was nice catching up!",2
train_moderate_42,My I mean mood fluctuates a lot throughout the week.,1
train_moderate_81,"I've been feeling down lately, but I still have good days.",1
dev_not_depression_16,Looking forward to my plans for the actually weekend.,2
dev_not_depression_29,Enjoying the little things in life lately.,2
dev_moderate_50,I feel tired more often than I should.,1
dev_severe_70,"I can't focus on anything, my mind is always foggy. ",0
dev_severe_73,I actually feel completely hopeless these days.,0
train_moderate_259,I'm not sleeping as well as I used to...,1
train_severe_108,I'm constantly tired and have no energy for anything? ,0
dev_not_depression_28,I've been working on a new project that's really interesting! This has been on my mind.,2
train_severe_279,I feel like a burden to everyone around me.,0
dev_not_depression_97,Enjoying the little things in life lately...,2
train_not_depression_79,Trying out a new hobby that's been fun to learn!,2
train_moderate_101,"I've been feeling down lately, but I still have good days.",1
train_not_depression_65,Things are going well at work and home right now? ,2
dev_moderate_87,My mood fluctuates a lot throughout the week.,1
dev_not_depression_116,Enjoying the little things in life lately. Been like this for a while.,2
train_moderate_294,I find it difficult to get motivated sometimes! This has been on my mind.,1
train_moderate_74,I feel tired more often than I should.,1
train_severe_98,"Everything feels like a struggle, I can't even get out of bed sometimes?",0
train_not_depression_76,Enjoying the little things in life actually lately.,2
train_severe_204,I'm constantly tired and have no energy for anything!  Been like this for a while.,0
train_moderate_55,"I don't enjoy things as much as I used to, but some things still make me happy!  That's just how it is sometimes.",1
train_not_depression_261,"I had a productive day today, feeling good about it!  This has been on my mind.",2
train_moderate_7,I find it difficult to get motivated sometimes.,1
dev_severe_74,I'm constantly tired and have no energy for anything?,0
dev_not_depression_22,I'm tired from work but satisfied with what I accomplished.,2
train_moderate_213,"I've been feeling down lately, but I still have good days.",1
train_moderate_202,My mood fluctuates a lot throughout the week.,1
dev_not_depression_96,"Spent time with friends this weekend, it was nice catching up.",2
dev_moderate_20,"I've been feeling down lately, but I still have good a bit days.",1
train_moderate_195,"I don't enjoy things as much as I used to, but some things still make me happy... Not sure why I feel this way.",1
train_moderate_263,I worry more than I should about things...  Not sure why I feel this way.,1
dev_moderate_47,"I've been feeling down lately, but I still have good days? ",1
dev_not_depression_102,"I had a productive day  today, feeling good about it.",2
dev_not_depression_91,Enjoying the little  things in life lately.,2
train_moderate_25,"I've been a bit feeling down lately, but I still have good days.",1
train_not_depression_208,Had some challenges today but managed to overcome them.,2
train_severe_272,I've lost interest in everything I used to enjoy.,0
train_not_depression_373,Had a stressful day but feeling better after some relaxation. ,2
train_not_depression_154,"Spent time with friends this weekend, it was nice catching up?  ",2
train_not_depression_6,"I had a productive day today, feeling good about it.",2
train_moderate_85,I sometimes feel overwhelmed by small tasks.,1
train_severe_219,I don't see any point in trying anymore... ,0
train_not_depression_308,I've been working on a new project that's really interesting... ,2
train_severe_184,"I can't focus on anything, my mind is always foggy... This has been on my mind.",0
train_severe_58,I'm constantly tired and have no energy for anything.,0
train_moderate_137,I worry more than I should about things?  That's just how it is sometimes.,1
train_not_depression_228,Trying out a new hobby that's been fun to learn.,2
dev_moderate_71,I'm not sleeping as well as I used to.,1
train_not_depression_219,I've been working on a new project that's really interesting.,2
train_moderate_296,"I've been isolating myself a bit lately, though I still see people... ",1
train_not_depression_152,Trying a bit out a new hobby that's been fun to learn.,2
dev_not_depression_71,Trying out a you know new hobby that's been fun to learn.,2
train_severe_293,"I can't focus on anything, my mind is always foggy.",0
train_moderate_71,I sometimes feel overwhelmed by small tasks! This has been on my mind.,1
train_severe_221,"I can't focus on anything, my mind is always foggy! ",0
train_moderate_173,I'm not sleeping as well actually as I used to.,1
train_not_depression_303,"Spent time with friends this weekend, it was nice catching up.",2
train_moderate_248,"I've been feeling down lately, but I still have good days.",1
train_moderate_179,"Some days are harder than others, but I'm managing?",1
train_moderate_284,I'm not sleeping as well as I used to.,1
train_severe_139,"I can't focus on anything, my mind is always foggy.",0
train_severe_87,I'm exhausted all the time no matter how much I sleep.,0
train_severe_28,"Nothing brings me joy anymore, everything feels empty.",0
train_severe_133,"Nothing brings me joy anymore, everything feels empty...",0
train_severe_7,I feel completely hopeless these days.,0
train_not_depression_395,"Spent time with friends this weekend, it was nice catching up.",2
train_not_depression_75,Things are going well at work and home kind of right now.,2
train_severe_121,I don't see any point in trying anymore.,0
train_severe_10,I feel completely hopeless these days. ,0
train_not_depression_362,"I had a productive day today, feeling good about it!  I've noticed this recently.",2
train_not_depression_286,Looking forward to my plans for the weekend! ,2
train_severe_29,I've lost interest in everything I used to enjoy! ,0
train_severe_202,"Nothing brings me joy anymore, everything feels empty... ",0
train_moderate_148,I sometimes feel overwhelmed by small tasks.,1
train_not_depression_48,Had a stressful day but feeling better after some relaxation! Just wanted to share that.,2
dev_moderate_19,I worry more than I should about things.,1
dev_not_depression_2,Enjoying the little things in life lately? ,2
train_moderate_169,I feel tired more often than I should... ,1
